MODEL_#,FULL/PART,LOSS,PUNCT,POS,B_F1 ▼,I_F1,X_F1 (BU),CORPUS,LR,WARMUP,SEED,DUAL_CKPT,EPOCH_B,EPOCH_I,EPOCH_X,B_PREC,B_REC,I_PREC,I_REC,X_PREC,X_REC,VAL_B_F1,TRAIN_B_F1,WORDS
36,full,wl2,N,none,0.8352,0.5765,0.6018,libri+ps+sbc,0.0000,0,42,Y,2,6,1,0.8157,0.8557,0.6240,0.5638,0.6008,0.6107,0.7898,0.7893,7035653
35,full,wl2,Y,none,0.8341,0.5618,0.5691,libri+ps+sbc,0.0000,0,42,Y,4,6,3,0.8116,0.8578,0.6121,0.5478,0.5785,0.5900,0.7902,0.7989,7035653
37,full,wl2,N,pos,0.8338,0.5657,0.5757,libri+ps+sbc,0.0000,0,42,Y,3,6,3,0.8064,0.8632,0.6353,0.5514,0.6281,0.6387,0.7898,0.7953,7035653
38,full,wl1.5,N,none,0.8329,0.5627,0.5758,libri+ps+sbc,0.0000,0,42,Y,3,6,1,0.8342,0.8315,0.6269,0.5499,0.5784,0.5881,0.7918,0.7975,7035653
44,partial,wl2,N,none,0.8326,0.5367,0.5898,ps+sbc,0.0000,0,42,Y,2,6,3,0.8298,0.8354,0.6468,0.5307,0.6195,0.6352,0.7490,0.7473,4756352
10,full,stl,N,pos,0.8293,0.5742,0.5715,libri+ps+sbc,0.0000,0,42,Y,4,6,2,0.8468,0.8126,0.6093,0.5612,0.6069,0.6198,0.7860,0.7936,7035653
12,partial,stl,N,pos,0.8292,0.5571,0.5385,ps+sbc,0.0000,0,42,Y,4,4,1,0.8493,0.8099,0.6052,0.5422,0.5909,0.5979,0.7422,0.7477,4756352
31,partial,wl3,N,none,0.8291,0.5635,0.5734,ps+sbc,0.0000,0,42,Y,4,6,2,0.7813,0.8832,0.5960,0.5503,0.5878,0.6010,0.7399,0.7463,4756352
7,partial,stl,N,none,0.8274,0.5702,0.6037,ps+sbc,0.0000,0,42,Y,3,5,5,0.8555,0.8012,0.6126,0.5563,0.6136,0.6305,0.7423,0.7434,4756352
24,partial,wl2,N,none,0.8241,0.5567,0.6038,libri+sbc,0.0000,0,42,Y,3,6,2,0.7870,0.8650,0.5951,0.5443,0.6045,0.6170,0.8774,0.8805,2663147
1,full,stl,N,none,0.8240,0.5590,0.5823,libri+ps+sbc,0.0000,0,42,Y,3,6,1,0.8627,0.7887,0.6180,0.5470,0.5890,0.6016,0.7863,0.7900,—
26,full,wl3,N,none,0.8239,0.5563,0.5587,libri+ps+sbc,0.0000,0,42,Y,4,6,3,0.7663,0.8909,0.6274,0.5399,0.5602,0.5668,0.7795,0.7866,7035653
40,partial,wl2,N,none,0.8230,0.5538,0.3750,sbc,0.0000,0,42,Y,6,6,—,0.7962,0.8517,0.6002,0.5419,0.5544,0.5298,0.8374,0.8403,383846
33,full,stl,Y,none,0.8226,0.5516,0.6062,libri+ps+sbc,0.0000,0,42,Y,2,6,3,0.8606,0.7878,0.6310,0.5401,0.6215,0.6395,0.7864,0.7839,7035653
34,full,wl3,Y,none,0.8219,0.5772,0.5817,libri+ps+sbc,0.0000,0,42,Y,4,6,2,0.7581,0.8974,0.6103,0.5636,0.5874,0.5996,0.7798,0.7868,7035653
39,partial,wl1.5,N,none,0.8213,0.5728,0.6286,libri+sbc,0.0000,0,42,Y,3,6,2,0.8386,0.8047,0.6172,0.5569,0.6260,0.6345,0.8797,0.8831,2663147
8,partial,stl,N,pos,0.8201,0.5697,0.5917,libri+sbc,0.0000,0,42,Y,5,5,2,0.8514,0.7909,0.5921,0.5579,0.5902,0.5959,0.8779,0.8863,2663147
